,Value,3exp_add,3exp_mul
18643,32.0,29.08879426473425,29.170121583805766
18644,32.0,34.41619720218236,31.96767291042028
18645,24.0,26.035726912948668,27.78140378113894
18646,26.0,26.3868284124739,26.789846074078426
18647,30.0,19.503692291518362,26.2089630008059
18648,26.0,35.45749010623964,35.68144279625768
18649,26.0,7.9188101939407645,24.176819369650545
18650,21.0,27.51584958897284,28.661308953921072
18651,24.0,24.43761668207707,24.501668225368693
18652,24.0,30.164358244738594,26.6923622947185
18653,22.0,28.121980123403024,25.852354296547002
18654,23.0,26.343552433525197,25.904624245590032
18655,21.0,27.015579923379015,25.327156119361575
18656,27.0,19.954327047415475,19.822987258646364
18657,27.0,29.491696020312794,27.869539127508173
18658,27.0,24.288364158399553,25.684539159178623
18659,27.0,22.985437629014484,26.994573331943155
18660,32.0,25.987824048804537,30.771386577203863
18661,31.0,31.14475999997677,35.04803145772433
18662,28.0,33.161155947421136,33.45949892634463
18663,22.0,30.070722672007598,30.180697501873357
18664,27.0,16.159580012859582,21.47100879742189
18665,23.0,28.735150059789365,26.425467432700827
18666,20.0,26.594711179166573,25.671094631796684
18667,19.0,24.59167670984891,21.289128298653484
18668,18.0,22.119290169385344,20.650525420219545
18669,17.0,10.940416233685328,18.57433703778441
18670,11.0,14.741943156330557,17.27427164643167
18671,15.0,17.79165216488621,12.35541891140105
18672,17.0,24.877028798384938,15.362560683082219
18673,17.0,14.877041377754175,18.939476025685924
18674,23.0,19.927285392621457,19.67879565995395
18675,35.0,25.997535158741623,24.40812838698302
18676,35.0,36.67122317365321,34.38814190987314
18677,38.0,34.544903380807334,37.4367699653685
18678,40.0,39.81413487313333,39.744840489013164
18679,51.0,44.31800843835294,44.468626989843074
18680,60.0,54.35734122106848,55.3990711639818
18681,60.0,61.905304403998144,61.77058174360503
18682,56.0,57.84110960263637,64.9124301181048
18683,54.0,62.707687391846086,61.796291861611344
18684,48.0,60.72331718353587,55.719554657088636
18685,43.0,48.613047575793985,45.58814390917455
18686,30.0,40.491778265533284,39.81553302949084
18687,21.0,26.156246476034184,27.893800831099323
18688,21.0,14.901146335831253,20.054971004352726
18689,19.0,16.262950330770607,20.76522060122075
18690,17.0,15.264447017446845,18.490385530743534
18691,21.0,14.200365605174717,17.74609614445618
18692,16.0,14.955157125909139,21.251558420144985
18693,16.0,15.925413130695292,17.277131564175775
18694,24.0,14.061267218936646,15.141468431137628
18695,33.0,16.317347158482573,21.68450341755788
18696,40.0,27.609849907531522,29.076322291773106
18697,36.0,33.582911948920696,36.89211782410434
18698,37.0,32.205800372212416,34.672412605966656
18699,34.0,34.756100140348366,36.48826942422944
18700,24.0,33.61823368101038,32.319605609876824
18701,23.0,22.900246733651567,24.887214187107904
18702,18.0,23.67992436057627,25.466986230560394
18703,20.0,18.38824365731636,21.129502792185768
18704,20.0,20.445637368166434,21.83695248703268
18705,22.0,23.98315596766012,22.98344842788829
18706,23.0,23.332067669098404,22.644079776581627
18707,16.0,19.802364335467303,22.74055185383924
18708,22.0,13.792672249263411,18.723420729386138
18709,24.0,23.749156931221183,24.47076301020321
18710,24.0,31.031137685992864,28.708280988123473
18711,26.0,24.54666169336258,28.197719320639635
18712,26.0,31.284215850098818,30.763437573033354
18713,32.0,37.65008618179191,29.304258498497795
18714,30.0,41.719696376258064,34.55626546298657
18715,23.0,24.17063249245016,29.00532133974324
18716,27.0,24.082179121831494,24.109424246586546
18717,22.0,30.34401103147301,28.37972643049436
18718,20.0,24.459928745741873,23.691172189595992
18719,25.0,20.43553285885902,19.7384894684055
18720,19.0,23.799830543357402,24.05397060145991
18721,26.0,20.14113044186263,20.866382149685393
18722,31.0,23.657508157843885,24.108029886031286
18723,30.0,31.910960745646648,30.54865981765327
18724,31.0,29.10067041166871,28.822245335880396
18725,33.0,34.27448452828564,33.38484715324756
18726,28.0,40.27117390551017,36.91055626314526
18727,38.0,17.190618058360023,31.501847551371974
18728,48.0,34.64382534248956,39.391403868548934
18729,45.0,49.59134152201998,46.886683313599534
18730,50.0,44.57308312462095,45.541134839826405
18731,59.33333333,45.545742467613536,50.45264772121137
18732,68.66666667,56.13252828890301,59.65102481540044
18733,78.0,67.3275839269584,69.044671432994
18734,79.0,79.42276395301337,89.72274228930965
18735,67.0,79.16176440768587,83.91364578389853
18736,84.0,76.79155871469673,70.35491574845888
18737,90.0,86.21190201082803,78.17868740369389
18738,92.0,89.97052650209227,89.04732861438764
18739,104.0,89.6256415605066,89.34759892277326
18740,119.0,99.56947253722687,100.91791613299752
18741,133.0,116.06843319125132,116.82092486521864
18742,135.0,129.79961575973113,128.45529965510136
18743,141.0,131.10227916232884,138.61966845241506
18744,138.0,137.9051849478074,156.44276288016212
18745,138.0,138.77014134909618,150.81848649896725
18746,130.0,143.96664745812603,169.24812251398583
18747,129.0,134.17220507963796,152.18855607634245
18748,134.0,133.54800648182294,133.91930826538376
18749,131.0,136.47257063748495,129.15170499465842
18750,137.0,132.08724748526058,117.85500262000656
18751,138.0,132.35477945094692,114.39584067401792
18752,140.0,130.78562279280072,128.982915244567
18753,151.0,131.6398343052497,128.65065555994755
18754,151.0,142.32262861870555,148.55082342338517
18755,136.0,144.99380559695268,147.7403515357926
18756,146.0,132.68986014737123,132.62456840378
18757,136.0,140.51233994096324,142.39212822627192
18758,117.0,135.3021490775846,141.68099671490452
18759,121.0,122.58370904337588,130.7211198564079
18760,134.0,125.89118041082156,137.34952639732776
18761,125.0,135.7123043334072,145.59864382805242
18762,102.0,126.19355385780737,139.07897955770696
18763,83.0,105.13636144715609,114.24737251874282
18764,54.0,87.02704323709139,90.38118828101649
18765,56.0,59.67984414260728,57.92199350075527
18766,49.0,56.31560081965138,55.522923215249264
18767,35.0,46.31376303848663,50.603707888698864
18768,39.0,35.91297490891686,37.41972117326834
18769,40.0,47.654635162324475,45.48606461494859
18770,48.0,42.481806487920025,43.591445024919196
18771,53.0,44.57580861797245,51.88021968272384
18772,52.0,47.80056621258453,51.54566396945612
18773,60.0,50.0845267646895,49.3547246287925
18774,63.0,57.189194344059565,68.91434243811486
18775,77.0,65.89808810732005,73.57520949484355
18776,89.0,82.56218458215591,79.82609848139454
18777,105.0,92.97336468988429,86.96335855845356
18778,107.0,105.78637868630751,108.5031624837631
18779,105.0,102.56788625748516,97.260917023227
18780,101.0,99.10690402074957,92.38125959338377
18781,100.0,96.93478895165951,92.48947176670424
18782,96.0,94.76061000202819,91.48194374133365
18783,95.0,93.05140788106735,95.10371232735562
18784,94.0,93.49735418277245,95.5112863850184
18785,98.0,93.24245752590856,98.4628875600202
18786,101.0,100.78913664918365,112.83761136845564
18787,111.0,101.76507880700117,111.6678500614246
18788,109.0,109.83120876895173,110.76872279080898
18789,107.0,108.21457297551655,106.5662515161355
18790,99.0,106.13583557067103,109.27496696790267
18791,94.0,100.44418602203797,99.3978129774623
18792,87.0,94.34578354353239,90.65874991213929
18793,79.0,83.08648470494978,85.15811193792051
18794,71.0,81.34648619019192,86.8403207267666
18795,64.0,69.93972916640554,72.82599198526893
18796,57.0,64.54733170853805,67.08550639725546
18797,53.0,56.02987406837755,59.766341693788476
18798,56.0,54.901506381448016,59.39391063361342
18799,58.0,58.01493772696657,61.483563211857316
18800,48.0,56.102336870053215,57.506076005545076
18801,53.0,48.43472589549121,52.29976374353017
18802,54.0,51.55202530270678,49.564331372110146
18803,56.0,53.28626358680146,54.68566443359635
18804,59.0,57.95054153069712,62.192021539314176
18805,47.0,62.07340057355238,62.92541405622431
18806,42.0,49.75051609148862,52.42219873526728
18807,41.0,41.985922135737205,47.317560660736504
18808,42.0,42.86906494333155,43.72767713881157
18809,45.0,42.88293774027804,47.791022847696944
18810,45.0,47.32170148470373,49.75231797687596
18811,48.0,47.827585704393805,50.99962531078337
18812,42.0,50.84172088853392,54.01463465464869
18813,47.0,51.08495785819136,47.340724043486695
